t,pressure
0.533,96058.24
0.534,92724.32
0.535,95803.2
0.536,99450.56
0.537,96962.40000000001
0.538,93246.72
0.539,95929.12
0.54,91129.76
0.541,95929.28
0.542,95529.12
0.543,88926.08
0.544,93428.64
0.545,100000.0
0.546,98266.24
0.547,94407.36
0.548,91799.36
0.549,94938.40000000001
0.55,93206.88
0.551,93455.04000000001
0.552,88051.04000000001
0.553,96472.48
0.554,95161.92
0.555,92587.52
0.556,98075.04000000001
0.557,92757.44
0.558,96841.92
0.559,97094.08
0.56,89915.36
0.561,97785.44
0.562,97548.96
0.5630000000000001,93548.0
0.5640000000000001,95250.40000000001
0.5650000000000001,94319.84
0.5660000000000001,91810.40000000001
0.5670000000000001,94965.12
0.5680000000000001,99073.92
0.5690000000000001,89467.52
0.5700000000000001,96656.16
0.5710000000000001,93823.52
0.5720000000000001,94438.08
0.5730000000000001,95824.0
0.5740000000000001,95930.72
0.5750000000000001,94268.32
0.5760000000000001,94144.64
0.577,94999.84
0.578,93115.84
0.579,92971.2
0.58,96770.08
0.581,94773.28
0.582,99154.56
0.583,93440.32
0.584,94004.16
0.585,90489.76
0.586,97097.12
0.587,91817.92
0.588,93246.24
0.589,100000.0
0.59,97653.6
0.591,99284.64
0.592,95746.24
0.593,93752.32
0.594,95174.24
0.595,92693.28
0.596,94387.2
0.597,93625.92
0.598,94642.72
0.599,89973.28
0.6,93207.04000000001
0.601,96568.0
0.602,92091.68000000001
0.603,92647.2
0.604,92006.88
0.605,94160.96
0.606,94945.44
0.607,98342.88
0.608,97110.72
0.609,98677.12
0.61,92868.8
0.611,97887.2
0.612,95123.52
0.613,99729.44
0.614,96471.68000000001
0.615,95313.76
0.616,94767.52
0.617,99754.40000000001
0.618,94627.52
0.619,93555.52
0.62,94291.52
0.621,95356.0
0.622,96001.92
0.623,92175.2
0.624,99745.76000000001
0.625,99509.76000000001
0.626,93771.84
0.627,91303.2
0.628,93413.76
0.629,92642.56
0.63,93422.24
0.631,95295.68000000001
0.632,94821.76
0.633,98753.28
0.634,95847.2
0.635,96912.48
0.636,94017.28
0.637,94796.32
0.638,95415.04000000001
0.639,94661.28
0.64,96112.96
0.641,89425.76
0.642,89761.44
0.643,98624.32
0.644,92208.48
0.645,94866.08
0.646,93752.64
0.647,96614.40000000001
0.648,93897.76
0.649,97924.8
0.65,92948.48
0.651,94633.44
0.652,94068.16
0.653,99090.56
0.654,92009.6
0.655,95785.44
0.656,92620.64
0.657,97194.24
0.658,91277.12
0.659,94926.56
0.66,97256.8
0.661,99489.28
0.662,94330.40000000001
0.663,93531.2
0.664,94578.56
0.665,96556.16
0.666,94373.12
0.667,96092.0
0.668,91526.72
0.669,96923.2
0.67,94772.16
0.671,95469.76
0.672,98978.08
0.673,91254.88
0.674,94811.2
0.675,96620.0
0.676,98170.40000000001
0.677,98033.44
0.678,91762.24
0.679,96865.92
0.68,96768.64
0.681,96465.92
0.682,94361.44
0.683,94266.08
0.684,93355.2
0.685,93433.12
0.686,95522.24
0.687,93834.40000000001
0.6880000000000001,94878.56
0.6890000000000001,92756.8
0.6900000000000001,95021.28
0.6910000000000001,93690.88
0.6920000000000001,99311.04000000001
0.6930000000000001,89435.04000000001
0.6940000000000001,95299.84
0.6950000000000001,94564.32
0.6960000000000001,92871.04000000001
0.6970000000000001,96838.24
0.6980000000000001,94573.12
0.6990000000000001,100000.0
0.7000000000000001,96924.96
0.7010000000000001,97968.0
0.7020000000000001,94882.72
0.7030000000000001,99514.72
0.704,94532.8
0.705,92915.2
0.706,95502.56
0.707,92339.36
0.708,93138.08
0.709,96224.32
0.71,91539.36
0.711,92718.40000000001
0.712,97632.96
0.713,93552.48
0.714,93249.28
0.715,89901.44
0.716,97951.52
0.717,94669.28
0.718,93793.92
0.719,96111.36
0.72,96409.12
0.721,92884.8
0.722,95115.2
0.723,97764.16
0.724,95934.88
0.725,96524.16
0.726,96349.44
0.727,92853.28
0.728,94611.68000000001
0.729,95549.92
0.73,98526.24
0.731,93709.6
0.732,97224.32
0.733,96477.76
0.734,91807.68000000001
0.735,96555.52
0.736,95376.96
0.737,95114.88
0.738,94256.32
0.739,96281.12
0.74,88197.28
0.741,95188.0
0.742,96437.76
0.743,94318.40000000001
0.744,91327.84
0.745,93989.92
0.746,91904.96
0.747,94183.2
0.748,96724.8
0.749,92624.64
0.75,96268.96
0.751,99100.96
0.752,97961.6
0.753,98387.52
0.754,95816.16
0.755,97298.88
0.756,93110.72
0.757,91768.0
0.758,95106.56
0.759,91154.72
0.76,93494.24
0.761,96104.96
0.762,98485.76000000001
0.763,91178.08
0.764,95940.8
0.765,97386.24
0.766,93112.16
0.767,97381.6
0.768,99871.04000000001
0.769,93992.96
0.77,95088.96
0.771,94727.52
0.772,97258.56
0.773,100000.0
0.774,96674.24
0.775,93880.48
0.776,95683.84
0.777,93128.48
0.778,92762.56
0.779,93692.32
0.78,96846.08
0.781,90909.76
0.782,95217.76
0.783,96419.36
0.784,100000.0
0.785,92304.64
0.786,97026.08
0.787,94967.04000000001
0.788,96780.32
0.789,96418.08
0.79,90678.08
0.791,94495.04000000001
0.792,95516.16
0.793,91634.72
0.794,94890.88
0.795,94174.08
0.796,96309.28
0.797,94943.84
0.798,94252.96
0.799,94226.40000000001
0.8,93419.04000000001
0.801,98539.04000000001
0.802,96593.12
0.803,95310.88
0.804,92092.16
0.805,95921.28
0.806,96592.16
0.807,92986.08
0.808,96446.08
0.809,93658.56
0.81,91175.84
0.811,96766.88
0.812,99356.0
0.8130000000000001,98964.8
0.8140000000000001,95683.04000000001
0.8150000000000001,96444.16
0.8160000000000001,92432.96
0.8170000000000001,97270.88
0.8180000000000001,91062.08
0.8190000000000001,99325.44
0.8200000000000001,95524.32
0.8210000000000001,94412.0
0.8220000000000001,92820.64
0.8230000000000001,94759.84
0.8240000000000001,92023.2
0.8250000000000001,92670.88
0.8260000000000001,92760.48
0.8270000000000001,98565.12
0.8280000000000001,98539.52
0.8290000000000001,94524.32
0.8300000000000001,93827.2
0.8310000000000001,98750.56
0.8320000000000001,94666.72
0.833,96415.36
0.834,95001.12
0.835,97386.88
0.836,95937.12
0.837,98677.28
0.838,93714.40000000001
0.839,99562.08
0.84,96599.36
0.841,95171.2
0.842,95260.64
0.843,97916.64
0.844,95666.56
0.845,97548.96
0.846,97694.08
0.847,98145.6
0.848,93896.32
0.849,92646.40000000001
0.85,97370.40000000001
0.851,93505.76
0.852,94322.24
0.853,93343.52
0.854,95297.12
0.855,100000.0
0.856,90063.52
0.857,93042.88
0.858,96498.24
0.859,96344.0
0.86,92811.68000000001
0.861,93362.40000000001
0.862,93972.96
0.863,95228.32
0.864,95970.72
0.865,90473.28
0.866,98304.16
0.867,91555.84
0.868,94813.92
0.869,93708.16
0.87,97889.76000000001
0.871,96283.84
0.872,98411.2
0.873,96485.12
0.874,95608.0
0.875,91304.48
0.876,90643.52
0.877,95589.28
0.878,88138.08
0.879,93249.44
0.88,94686.88
0.881,99264.8
0.882,92566.40000000001
0.883,92419.84
0.884,96613.44
0.885,95909.28
0.886,92273.28
0.887,95324.32
0.888,100000.0
0.889,94077.44
0.89,96135.84
0.891,92066.88
0.892,91778.08
0.893,94383.68000000001
0.894,97294.24
0.895,94530.24
0.896,93748.16
0.897,90091.52
0.898,96791.2
0.899,90536.96
0.9,90427.68000000001
0.901,100000.0
0.902,98960.0
0.903,96667.04000000001
0.904,97074.24
0.905,94678.72
0.906,95010.88
0.907,92757.76
0.908,94685.28
0.909,96729.12
0.91,92408.64
0.911,94974.72
0.912,94027.84
0.913,98533.92
0.914,95165.44
0.915,92830.08
0.916,97522.08
0.917,94566.08
0.918,92106.72
0.919,87435.36
0.92,94299.84
0.921,96463.52
0.922,95690.24
0.923,94318.08
0.924,96424.8
0.925,94257.76
0.926,97326.08
0.927,95139.84
0.928,93746.08
0.929,94338.72
0.93,90804.8
0.931,95028.0
0.932,98076.32
0.933,98515.68000000001
0.934,91701.12
0.935,95768.0
0.936,98552.64
0.937,97248.48
0.9380000000000001,97480.0
0.9390000000000001,87423.2
0.9400000000000001,97805.12
0.9410000000000001,94532.48
0.9420000000000001,97554.56
0.9430000000000001,95675.68000000001
0.9440000000000001,97609.44
0.9450000000000001,91909.12
0.9460000000000001,93210.40000000001
0.9470000000000001,94904.8
0.9480000000000001,94154.24
0.9490000000000001,93206.40000000001
0.9500000000000001,91529.12
0.9510000000000001,98713.44
0.9520000000000001,92555.52
0.9530000000000001,96847.84
0.9540000000000001,95009.6
0.9550000000000001,92024.32
0.9560000000000001,92670.88
0.9570000000000001,92129.92
0.9580000000000001,96018.72
0.9590000000000001,97155.52
0.96,97668.8
0.961,96399.84
0.962,93868.16
0.963,92571.04000000001
0.964,96221.76
0.965,98464.8
0.966,97727.04000000001
0.967,94050.72
0.968,94919.52
0.969,96186.88
0.97,96493.12
0.971,92523.52
0.972,99779.52
0.973,96750.72
0.974,92442.56
0.975,95124.8
0.976,92798.40000000001
0.977,94024.8
0.978,93528.64
0.979,92708.16
0.98,94557.44
0.981,94578.72
0.982,96559.36
0.983,97041.76
0.984,95380.8
0.985,98010.56
0.986,93668.96
0.987,94270.88
0.988,95556.48
0.989,93013.76
0.99,92330.88
0.991,94238.08
0.992,93673.92
0.993,98861.12
0.994,90915.68000000001
0.995,92689.28
0.996,97928.64
0.997,100000.0
0.998,96481.12
0.999,97678.56
1.0,95256.32
1.0010000000000001,93732.8
1.002,98479.68000000001
1.0030000000000001,90330.08
1.004,98772.8
1.0050000000000001,99243.36
1.006,96742.72
1.0070000000000001,93761.12
1.008,97169.28
1.0090000000000001,99320.0
1.01,94972.64
1.0110000000000001,95980.8
1.012,96791.36
1.0130000000000001,97075.36
1.014,93355.2
1.0150000000000001,93909.92
1.016,94153.92
1.0170000000000001,92711.52
1.018,95672.8
1.0190000000000001,95078.56
1.02,92336.32
1.0210000000000001,92279.36
1.022,93600.8
1.0230000000000001,97442.08
1.024,93034.24
1.025,95814.56
1.026,96608.48
1.027,97307.04000000001
1.028,97692.96
1.029,96982.56
1.03,95259.36
1.031,93841.76
1.032,93256.64
1.033,93094.40000000001
1.034,96172.0
1.035,95296.0
1.036,97702.24
1.037,97636.0
1.038,97521.12
1.039,100000.0
1.04,93826.24
1.041,94503.68000000001
1.042,98799.04000000001
1.043,94382.56
1.044,96117.28
1.045,89611.52
1.046,95798.40000000001
1.047,91748.96
1.048,98851.68000000001
1.049,98776.0
1.05,94005.92
1.051,97020.32
1.052,100000.0
1.053,97034.88
1.054,93481.28
1.055,96799.84
1.056,99191.2
1.057,94974.40000000001
1.058,99637.12
1.059,98185.44
1.06,96050.88
1.061,96645.76
1.062,94646.24
1.063,96108.0
1.064,95632.0
1.065,95052.16
1.066,92025.76
1.067,95073.12
1.068,97194.88
1.069,96290.56
1.07,94802.40000000001
1.071,97100.8
1.072,100000.0
1.073,95772.32
1.074,95528.48
1.075,95870.40000000001
1.076,100000.0
1.077,93236.48
1.078,94085.12
1.079,94668.64
1.08,95347.2
1.081,94091.36
1.082,95044.16
1.083,96932.8
1.084,91825.92
1.085,96373.12
1.086,91330.40000000001
1.087,91966.40000000001
1.088,95862.88
1.089,96001.28
1.09,98702.88
1.091,94631.52
1.092,97058.24
1.093,96451.04000000001
1.094,95282.24
1.095,98214.72
1.096,92180.0
1.097,96107.2
1.098,95395.84
1.099,96478.56
1.1,96808.8
1.101,95328.32
1.102,91658.40000000001
1.103,96445.6
1.104,97036.64
1.105,94017.76
1.106,93008.16
1.107,94136.48
1.108,96230.08
1.109,95327.36
1.11,94816.16
1.111,94483.52
1.112,97467.68000000001
1.113,94677.44
1.114,95470.56
1.115,92123.2
1.116,91655.84
1.117,93988.64
1.118,95846.88
1.119,94612.96
1.12,93489.12
1.121,96802.56
1.122,92754.24
1.123,95269.28
1.124,92042.08
1.125,91162.08
1.1260000000000001,93326.72
1.127,94130.40000000001
1.1280000000000001,98263.04000000001
1.129,95651.68000000001
1.1300000000000001,96883.84
1.131,95736.32
1.1320000000000001,95705.76
1.133,95774.40000000001
1.1340000000000001,93213.28
1.135,97887.36
1.1360000000000001,97519.68000000001
1.137,100000.0
1.1380000000000001,97857.12
1.139,97726.40000000001
1.1400000000000001,96962.88
1.141,94906.72
1.1420000000000001,90597.12
1.143,95934.56
1.1440000000000001,98846.56
1.145,95046.40000000001
1.1460000000000001,91928.8
1.147,94782.24
1.1480000000000001,97439.04000000001
1.149,95848.64
1.1500000000000001,92694.72
1.151,95156.96
1.1520000000000001,99813.6
1.153,98969.6
1.154,93604.96
1.155,94907.84
1.156,92706.56
1.157,96544.96
1.158,91722.08
1.159,95109.6
1.16,92063.36
1.161,96455.84
1.162,93151.2
1.163,96729.76
1.164,97974.72
1.165,91811.04000000001
1.166,95783.36
1.167,96606.40000000001
1.168,95176.96
1.169,96701.44
1.17,92999.84
1.171,100000.0
1.172,92760.96
1.173,93922.56
1.174,92205.92
1.175,99687.2
1.176,93511.2
1.177,92591.04000000001
1.178,88958.72
1.179,92483.84
1.18,94334.72
1.181,94829.92
1.182,93069.76
1.183,93307.68000000001
1.184,98194.88
1.185,95451.68000000001
1.186,96009.28
1.187,100000.0
